cc_num,Income,Travel,Lifestyle,Premium,All_Purpose,Fuel,Total,User_Profile,High_Income,Student,Self_Employed,Frequent_Traveler,Online_Shopper,Fuel_Customer,Best_Card,Second_Best_Card,Third_Best_Card,Fourth_Best_Card,Fifth_Best_Card
6.09427E+15,70000,9597.16,11384.52,3637,20292.39,5621.61,50532.68,"All_Purpose, Fuel",0,0,0,0,1,1,6,11,3,4,7
6.81213E+15,200000,40151.02,40906.41,18177.53,20996.53,16715.73,136947.22,"Travel, Fuel",0,0,1,1,1,1,9,5,13,14,6
6.10431E+15,290000,62595.85,52211.85,50712.55,58411.66,22633.6,246565.51,"Travel, Premium",1,0,1,1,1,0,0,1,2,8,7
6.72376E+15,150000,24078.36,12525.57,5233.96,36919.53,12152.32,90909.74,Fuel,0,0,0,1,1,1,9,5,13,14,6
6.59276E+15,110000,14513.91,9250.22,3571.99,17284.22,8744.55,53364.89,All_Purpose,0,0,0,0,1,0,6,11,3,4,7
6.30232E+15,80000,13249.7,22083.17,7136.27,15446.22,7134.61,65049.97,"Lifestyle, Fuel",0,0,0,1,1,1,9,5,13,14,6
6.08574E+15,290000,66512.82,83340.25,15950.72,82316.29,21635.69,269755.77,"Travel, Lifestyle, All_Purpose",1,0,1,1,1,0,0,1,2,8,7
6.61456E+15,210000,35462.78,61951.71,23886.47,31988.32,17150.71,170439.99,"Lifestyle, Fuel",1,0,1,1,1,1,0,1,2,8,7
6.10338E+15,70000,7796.56,5755.4,3623.75,7939.3,3985.9,29100.91,All_Purpose,0,0,0,0,0,0,6,11,9,10,12
6.32512E+15,260000,33093.32,35468.37,47438.05,47910.61,21678.25,185588.6,"Premium, Fuel",1,0,0,0,1,1,7,12,0,1,2
6.34039E+15,190000,24480.24,11441.26,11156.6,26845.08,11181.6,85104.78,All_Purpose,0,0,0,0,1,0,6,11,3,4,7
6.48288E+15,230000,27161.94,37994.78,14967.65,36832.05,17289.3,134245.72,All_Purpose,1,0,1,0,1,0,7,12,0,1,2
6.64568E+15,110000,11648.65,27483.79,15041.74,10778.57,10304.68,75257.43,Fuel,0,0,0,0,1,1,6,11,3,4,7
6.91754E+15,110000,12007.79,13114.14,18375.96,26907.88,6514.87,76920.64,Premium,0,0,0,0,1,0,6,11,3,4,7
6.01985E+15,240000,41442.83,49095.29,22251.68,43621.83,20969.65,177381.28,Fuel,1,0,1,1,1,1,0,1,2,8,7
6.45517E+15,210000,28951.76,47950.85,38258.88,40439.5,16087.19,171688.18,Premium,1,0,1,0,1,0,7,12,0,1,2
6.41001E+15,40000,7195.7,4424.71,3030.85,6520.1,2040.14,23211.5,All_Purpose,0,1,0,1,0,0,13,14,5,10,9
6.8799E+15,80000,11929.97,6395.24,14511.17,16847.23,6716.41,56400.02,"Premium, Fuel",0,0,0,0,1,1,6,11,3,4,7
6.34903E+15,240000,41943.92,17215.22,29113.95,50185.21,20945.27,159403.57,Fuel,1,0,1,1,1,1,0,1,2,8,7
6.32514E+15,30000,3574.11,3628.32,2751.72,6663.05,2356.17,18973.37,All_Purpose,0,1,0,0,0,0,10,3,4,6,11
6.86857E+15,220000,54555,44317.62,15472.28,22526.27,12681.45,149552.62,Travel,1,0,0,1,1,0,0,1,2,8,7
6.61898E+15,210000,26061.46,20294.77,16477.9,24809.86,19916.04,107560.03,Fuel,1,0,0,0,1,1,7,12,0,1,2
6.90474E+15,20000,3573.53,3051.98,3940.09,2092.97,1397.86,14056.43,Premium,0,1,0,1,0,0,13,14,5,10,9
6.00364E+15,240000,55158.26,61024.32,17722.44,28222.86,20023.72,182151.6,"Travel, Lifestyle, Fuel",1,0,0,1,1,1,0,1,2,8,7
6.3948E+15,120000,22289.03,14399.37,19297.66,14537.95,7942.08,78466.09,Premium,0,0,0,1,1,0,9,5,6,11,3
6.00785E+15,300000,52842.47,33180.73,14856.68,64300.92,19329.46,184510.26,All_Purpose,1,0,1,1,1,0,0,1,2,8,7
6.28152E+15,60000,7389.26,10217.1,7232.41,5484.07,4009.81,34332.65,All_Purpose,0,0,0,0,0,0,6,11,9,10,12
6.83386E+15,20000,2190.12,5949.8,1696,5163.45,1254.64,16254.01,Lifestyle,0,1,0,0,0,0,10,3,4,6,11
6.45651E+15,280000,59929.57,55694.71,30847.03,47769.4,18884.16,213124.87,Travel,1,0,0,1,1,0,0,1,2,8,7
6.36316E+15,210000,47164.51,61163.91,10737.41,50566.08,20352.57,189984.48,"Travel, Lifestyle, Fuel",1,0,1,1,1,1,0,1,2,8,7
6.74262E+15,10000,1099.74,2352.8,1276.6,2652.02,569.89,7951.05,All_Purpose,0,1,0,0,0,0,10,3,4,6,11
6.08852E+15,120000,15629.29,10909.68,6951.02,31104.77,9991.18,74585.94,Fuel,0,0,0,0,1,1,6,11,3,4,7
6.61429E+15,260000,60210.82,38508.93,43893.7,45918.52,17900.28,206432.25,"Travel, Premium",1,0,1,1,1,0,0,1,2,8,7
6.75862E+15,220000,31945.47,52118.52,25401.74,28839.09,20895.32,159200.14,Fuel,1,0,0,0,1,1,7,12,0,1,2
6.41509E+15,290000,52644.55,80219.23,39474.93,30658.09,28127.57,231124.37,"Lifestyle, Fuel",1,0,1,1,1,1,0,1,2,8,7
6.60352E+15,120000,18028.3,10178.16,19798.11,25969.92,9200.77,83175.26,Premium,0,0,0,1,1,0,9,5,6,11,3
6.44529E+15,250000,54572.4,21979.68,20748.19,33666.9,21799.33,152766.5,"Travel, Fuel",1,0,0,1,1,1,0,1,2,8,7
6.66479E+15,170000,31532.19,40904.49,30438.53,26393.86,15480.69,144749.76,"Premium, Fuel",0,0,1,1,1,1,9,5,13,14,6
6.06177E+15,270000,61281.32,22105.48,26335.49,68959.34,15523.89,194205.52,Travel,1,0,1,1,1,0,0,1,2,8,7
6.53565E+15,270000,56251.23,62102.47,37528.68,62820.54,20826.78,239529.7,Travel,1,0,0,1,1,0,0,1,2,8,7
6.56645E+15,100000,15185.44,9539.94,18443.66,20834.62,7004.26,71007.92,Premium,0,0,0,1,1,0,9,5,6,11,3
6.80752E+15,280000,67785.9,24734.6,36304.54,53562.74,22560.36,204948.14,"Travel, Fuel",1,0,1,1,1,1,0,1,2,8,7
6.44781E+15,280000,64629.2,79248.28,35300.34,65313.69,26914.99,271406.5,"Travel, Lifestyle, Fuel",1,0,0,1,1,1,0,1,2,8,7
6.75334E+15,160000,19660.94,31051.53,21302.65,27729.4,13891.55,113636.07,Fuel,0,0,1,0,1,1,6,11,3,4,7
6.53294E+15,150000,35825.29,24406.48,7387.57,44499.76,13791.74,125910.84,"Travel, All_Purpose, Fuel",0,0,0,1,1,1,9,5,13,14,6
6.24166E+15,300000,71437.88,80242.23,35460.74,63024.18,20985.04,271150.07,"Travel, Lifestyle",1,0,1,1,1,0,0,1,2,8,7
6.77636E+15,300000,45083.88,75214.01,9236.23,46010.95,20972.53,196517.6,Lifestyle,1,0,1,1,1,0,0,1,2,8,7
6.86578E+15,150000,35696.75,20487.97,13347.31,36337.54,10891.63,116761.2,Travel,0,0,1,1,1,0,9,5,6,11,3
6.51973E+15,300000,36338.57,28229.02,34416.76,51649.08,28722.69,179356.12,Fuel,1,0,1,0,1,1,7,12,0,1,2
6.19827E+15,190000,35546.77,39532.55,6122.95,42935.86,11191.34,135329.47,All_Purpose,0,0,0,1,1,0,9,5,6,11,3
6.88731E+15,120000,14675.93,18438.72,5341.13,35917.48,9013.17,83386.43,All_Purpose,0,0,1,0,1,0,6,11,3,4,7
6.25631E+15,230000,25314.14,54622.73,15107.31,63841.55,13859.11,172744.84,All_Purpose,1,0,1,0,1,0,7,12,0,1,2
6.77041E+15,200000,21096.49,33603.35,25204.6,18891.18,17755.28,116550.9,Fuel,0,0,1,0,1,1,6,11,3,4,7
6.7999E+15,250000,44664.64,40047.67,24532.43,50780.22,14440.5,174465.46,All_Purpose,1,0,1,1,1,0,0,1,2,8,7
6.78888E+15,30000,6878.04,8595.87,2803.88,4186.91,2466,24930.7,"Travel, Lifestyle, Fuel",0,1,0,1,0,1,13,14,5,10,9
6.89166E+15,50000,5190.4,4451.91,7585.76,11248.16,2567.74,31043.97,Premium,0,0,0,0,0,0,6,11,9,10,12
6.31035E+15,190000,25585.63,41414.91,6336.65,19551.74,17099.2,109988.13,Fuel,0,0,0,0,1,1,6,11,3,4,7
6.82295E+15,70000,13853.83,7668.2,3283.35,9344.85,6027.93,40178.16,Fuel,0,0,0,1,0,1,9,13,14,6,11
6.63737E+15,210000,47151.93,31352.14,30150.64,26270.27,13578.05,148503.03,Travel,1,0,0,1,1,0,0,1,2,8,7
6.62248E+15,90000,9175.53,6423.94,5880.66,7725.34,5316.46,34521.93,All_Purpose,0,0,0,0,0,0,6,11,9,10,12
6.99122E+15,70000,11424.96,19121.75,11827.58,10863.99,4407.98,57646.26,"Lifestyle, Premium",0,0,0,1,1,0,9,5,6,11,3
6.55952E+15,180000,33937.96,21062.86,24498.96,30612.7,13968.42,124080.9,All_Purpose,0,0,1,1,1,0,9,5,6,11,3
6.08188E+15,40000,5766.79,11484.53,6392.52,4433,3736.94,31813.78,"Lifestyle, Premium, Fuel",0,1,0,0,0,1,10,13,14,3,4
6.1519E+15,250000,58545.71,62490.95,25571.57,21235.81,15858.47,183702.51,Travel,1,0,0,1,1,0,0,1,2,8,7
6.89327E+15,280000,54606.09,32052.14,15033.35,73831.7,27781.63,203304.91,Fuel,1,0,1,1,1,1,0,1,2,8,7
6.13595E+15,140000,19718.45,7643.67,25960.31,14826.73,11035.62,79184.78,Premium,0,0,0,0,1,0,6,11,3,4,7
6.82664E+15,180000,32962.81,38313.92,30790.1,22574.28,9098.96,133740.07,Premium,0,0,1,1,1,0,9,5,6,11,3
6.31861E+15,260000,61100.73,69802.86,34205.66,55149.56,21645.48,241904.29,"Travel, Lifestyle, Fuel",1,0,0,1,1,1,0,1,2,8,7
6.43539E+15,90000,21344.56,13922.34,8562.02,17474.57,4711.35,66014.84,Travel,0,0,0,1,1,0,9,5,6,11,3
6.38483E+15,260000,54783.31,18381.91,34459.32,34833.97,18060.84,160519.35,Travel,1,0,1,1,1,0,0,1,2,8,7
6.02084E+15,210000,43649.95,26098.89,26520.65,38793.53,17468.55,152531.57,"Travel, Fuel",1,0,0,1,1,1,0,1,2,8,7
6.63103E+15,20000,4197.72,2074.7,706.02,2753.96,1595.08,11327.48,Travel,0,1,0,1,0,0,13,14,5,10,9
6.06463E+15,200000,34890.99,39842.14,17364.29,49920.14,11065.98,153083.54,All_Purpose,0,0,0,1,1,0,9,5,6,11,3
6.19407E+15,280000,58583.93,48684.39,41167.95,49185.36,17449.63,215071.26,Travel,1,0,1,1,1,0,0,1,2,8,7
6.54115E+15,150000,32986.86,33551.12,11439.7,31477.61,10207.3,119662.59,Travel,0,0,0,1,1,0,9,5,6,11,3
6.56871E+15,280000,66527.17,23577.3,53631.3,49873.96,16591.86,210201.59,"Travel, Premium",1,0,0,1,1,0,0,1,2,8,7
6.24934E+15,70000,16165.93,16313.94,11698.08,15745.26,5922.97,65846.18,"Travel, Premium, Fuel",0,0,0,1,1,1,9,5,13,14,6
6.16167E+15,120000,16494.02,20682.75,8112.67,35674.44,11664.36,92628.24,"All_Purpose, Fuel",0,0,1,0,1,1,6,11,3,4,7
6.60083E+15,290000,69248.3,27591.71,36699.7,81608.15,14992.22,230140.08,"Travel, All_Purpose",1,0,0,1,1,0,0,1,2,8,7
6.7959E+15,80000,11568.19,22487.92,15606.39,23019.09,5896.86,78578.45,"Lifestyle, Premium, All_Purpose",0,0,0,0,1,0,6,11,3,4,7
6.52324E+15,150000,34002.36,19466.27,25637.34,13221.25,11972.02,104299.24,"Travel, Premium",0,0,1,1,1,0,9,5,6,11,3
6.89876E+15,30000,3542.55,2077.15,4451.07,4643.17,2587.15,17301.09,Fuel,0,1,0,0,0,1,10,13,14,3,4
6.96764E+15,140000,20621.1,25882.2,23019.21,21017.58,11381.24,101921.33,"Premium, Fuel",0,0,0,0,1,1,6,11,3,4,7
6.1264E+15,170000,32704.51,18400.78,5805.18,46141.7,8680.79,111732.96,All_Purpose,0,0,0,1,1,0,9,5,6,11,3
6.69021E+15,40000,7173.62,11390.68,6631.73,11981.82,2701.42,39879.27,"Lifestyle, Premium, All_Purpose",0,0,0,1,1,0,9,5,6,11,3
6.44094E+15,180000,28852.13,30594.4,24601.67,48997.61,17856.75,150902.56,Fuel,0,0,1,1,1,1,9,5,13,14,6
6.14574E+15,80000,13013.2,12427.14,12431.12,10602.48,4441.9,52915.84,Premium,0,0,0,1,1,0,9,5,6,11,3
6.9499E+15,40000,5723.43,4963.08,2788.53,3570.42,2035.75,19081.21,All_Purpose,0,1,0,0,0,0,10,3,4,6,11
6.53682E+15,20000,3283.32,2921.63,2910.8,2560.32,1949.96,13626.03,Fuel,0,1,0,1,0,1,13,14,5,10,9
6.14876E+15,300000,34023.5,46318.56,53835.03,86352.31,22011.02,242540.42,"Premium, All_Purpose",1,0,1,0,1,0,7,12,0,1,2
6.17972E+15,60000,7503.31,17867.53,4163.05,17244.06,4948.94,51726.89,"Lifestyle, All_Purpose, Fuel",0,0,0,0,1,1,6,11,3,4,7
6.80156E+15,220000,38918.72,23686.84,13202.15,28271.53,13050.82,117130.06,All_Purpose,1,0,0,1,1,0,0,1,2,8,7
6.64154E+15,100000,15251.88,6446.07,19474.74,27443.29,9638.76,78254.74,"Premium, Fuel",0,0,0,1,1,1,9,5,13,14,6
6.68678E+15,40000,5043.37,5962.42,6356.02,9324.98,2307.79,28994.58,Premium,0,1,0,0,0,0,10,3,4,6,11
6.35889E+15,220000,29406.54,23309.97,26682.84,46298.29,17380.95,143078.59,All_Purpose,1,0,1,0,1,0,7,12,0,1,2
6.12538E+15,290000,40553.6,23889.83,52515.28,84170.57,27000.85,228130.13,"Premium, All_Purpose, Fuel",1,0,1,0,1,1,7,12,0,1,2
6.90741E+15,180000,35691.53,33788.58,8061.79,30574.75,12354.2,120470.85,All_Purpose,0,0,1,1,1,0,9,5,6,11,3
6.36918E+15,260000,54213.38,45231.92,11382.24,33394.48,21882.36,166104.38,"Travel, Fuel",1,0,1,1,1,1,0,1,2,8,7
6.56979E+15,120000,27321.72,20854.4,13403.97,25239.57,10948.09,97767.75,"Travel, Fuel",0,0,1,1,1,1,9,5,13,14,6
6.08428E+15,20000,4034.05,3828.66,1507.9,5465.97,1797.43,16634.01,"Travel, Fuel",0,1,0,1,0,1,13,14,5,10,9
6.48011E+15,100000,22758.73,26682.36,15042.17,26414.29,8487.36,99384.91,"Travel, Lifestyle, Premium, Fuel",0,0,1,1,1,1,9,5,13,14,6
6.21105E+15,300000,57837.51,71453.75,17088.86,82137.47,28077.65,256595.24,Fuel,1,0,1,1,1,1,0,1,2,8,7
6.64364E+15,40000,8954.9,3288.7,3478.81,9742.87,2321.52,27786.8,Travel,0,1,0,1,0,0,13,14,5,10,9
6.84931E+15,140000,31474.82,24761.37,4351.98,20040.77,11318.49,91947.43,"Travel, Fuel",0,0,0,1,1,1,9,5,13,14,6
6.86781E+15,160000,31163.52,18392.14,22044.96,31807.49,14238.76,117646.87,Fuel,0,0,1,1,1,1,9,5,13,14,6
6.39238E+15,150000,32123.13,27797.5,29056.3,23281.78,12244.66,124503.37,"Travel, Premium, Fuel",0,0,1,1,1,1,9,5,13,14,6
6.77853E+15,80000,9230.12,22744.57,11755.25,7593.93,5203.85,56527.72,Lifestyle,0,0,0,0,1,0,6,11,3,4,7
6.29159E+15,140000,15414.36,27375.97,12432.02,30324.2,7320.19,92866.74,All_Purpose,0,0,1,0,1,0,6,11,3,4,7
6.93681E+15,230000,56585.37,67210.48,36211.39,24982.36,20220.03,205209.63,"Travel, Lifestyle, Premium, Fuel",1,0,1,1,1,1,0,1,2,8,7
6.75437E+15,280000,28929.19,36652.72,31659.42,69857.1,23566.14,190664.57,Fuel,1,0,1,0,1,1,7,12,0,1,2
6.17973E+15,250000,35261,74820.28,25612.71,44826.29,14545.3,195065.58,Lifestyle,1,0,1,0,1,0,7,12,0,1,2
6.09467E+15,300000,61215.7,31557.72,13201.43,68912.95,24817.67,199705.47,"Travel, Fuel",1,0,1,1,1,1,0,1,2,8,7
6.6858E+15,80000,19410.36,7021.16,8279.75,23007.64,5678.91,63397.82,"Travel, All_Purpose",0,0,0,1,1,0,9,5,6,11,3
6.64878E+15,210000,33524.22,24896.3,41428,35711.23,19888.04,155447.79,"Premium, Fuel",1,0,0,1,1,1,0,1,2,8,7
6.08006E+15,160000,21114.51,9245.36,22525.34,25772.13,14914.87,93572.21,Fuel,0,0,0,0,1,1,6,11,3,4,7
6.69484E+15,130000,31879.77,12529.58,23096.57,32610.67,11510.99,111627.58,"Travel, Premium, Fuel",0,0,0,1,1,1,9,5,13,14,6
6.52576E+15,180000,34907.95,14906.02,6395.3,50865.57,14549.85,121624.69,"All_Purpose, Fuel",0,0,0,1,1,1,9,5,13,14,6
6.44711E+15,150000,25834.25,11899.06,7692.24,34623.65,10727.29,90776.49,All_Purpose,0,0,0,1,1,0,9,5,6,11,3
6.36811E+15,210000,36485.23,13870.97,27076.38,29227.5,18874.37,125534.45,Fuel,1,0,0,1,1,1,0,1,2,8,7
6.67524E+15,240000,24418.34,16346.81,23213.74,44540.77,19200.25,127719.91,Fuel,1,0,0,0,1,1,7,12,0,1,2
6.19829E+15,260000,53104.29,68907.96,42269.41,23066.2,19246.59,206594.45,"Travel, Lifestyle, Premium",1,0,0,1,1,0,0,1,2,8,7
6.20954E+15,250000,34076.69,74166.41,13556.06,47438.85,20226.95,189464.96,"Lifestyle, Fuel",1,0,0,0,1,1,7,12,0,1,2
6.75624E+15,280000,51505.24,14683.96,23939.56,54291.04,15230.13,159649.93,All_Purpose,1,0,0,1,1,0,0,1,2,8,7
6.21845E+15,280000,29394.53,19500.49,27293.55,30575.29,21945.57,128709.43,All_Purpose,1,0,0,0,1,0,7,12,0,1,2
6.57122E+15,280000,61624.64,28010.52,16372.17,28841.38,22910.02,157758.73,"Travel, Fuel",1,0,1,1,1,1,0,1,2,8,7
6.67586E+15,130000,31256.14,8189.07,15862.65,30679.13,12161.3,98148.29,"Travel, Fuel",0,0,0,1,1,1,9,5,13,14,6
6.84829E+15,90000,19823.33,12137.63,15166.82,8786.27,8526.67,64440.72,"Travel, Premium, Fuel",0,0,0,1,1,1,9,5,13,14,6
6.47916E+15,290000,64552.45,47293.08,40428.38,56784.49,25108.05,234166.45,"Travel, Fuel",1,0,0,1,1,1,0,1,2,8,7
6.64895E+15,150000,16357.92,16766.37,8568.39,40768.86,9144.1,91605.64,All_Purpose,0,0,1,0,1,0,6,11,3,4,7
6.08611E+15,130000,19569.47,12418.83,21352.34,29239.04,9738.27,92317.95,Premium,0,0,0,1,1,0,9,5,6,11,3
6.34171E+15,10000,2078.8,1071.14,1993.77,2944.54,825.16,8913.41,"Travel, Premium, All_Purpose, Fuel",0,1,0,1,0,1,13,14,5,10,9
6.87452E+15,250000,50508.56,17012.4,8802.73,34172.56,18282.79,128779.04,Travel,1,0,0,1,1,0,0,1,2,8,7
6.73236E+15,70000,14635.28,16497.36,7163.37,10927.4,4798.64,54022.05,Travel,0,0,0,1,1,0,9,5,6,11,3
6.65751E+15,90000,9541.47,24008.21,11553.73,15884.59,7763.66,68751.66,"Lifestyle, Fuel",0,0,0,0,1,1,6,11,3,4,7
6.18137E+15,240000,55443.24,66042.11,24406.21,33816.51,19108.2,198816.27,"Travel, Lifestyle",1,0,1,1,1,0,0,1,2,8,7
6.08579E+15,10000,1315.99,2057.42,1373.65,2412.85,565.78,7725.69,All_Purpose,0,1,0,0,0,0,10,3,4,6,11
6.27627E+15,120000,28362.59,11390.49,8445.88,35244.83,7085.86,90529.65,"Travel, All_Purpose",0,0,0,1,1,0,9,5,6,11,3
6.76509E+15,80000,13907.33,8944.62,14242.2,14237.37,6059.27,57390.79,Premium,0,0,0,1,1,0,9,5,6,11,3
6.65713E+15,240000,45346.23,21811.43,23156.13,70384.97,15097.6,175796.36,All_Purpose,1,0,1,1,1,0,0,1,2,8,7
6.353E+15,110000,13159.42,32170.08,11785.86,14512.42,5904.23,77532.01,Lifestyle,0,0,1,0,1,0,6,11,3,4,7
6.34158E+15,190000,33813.56,25507.65,32472.93,33211.1,11862.79,136868.03,Premium,0,0,0,1,1,0,9,5,6,11,3
6.8707E+15,170000,35022.82,15599.28,9944.2,14971.51,14759.42,90297.23,"Travel, Fuel",0,0,0,1,1,1,9,5,13,14,6
6.56561E+15,80000,13695.57,20883.41,13357.11,16702.24,7473.09,72111.42,"Lifestyle, Premium, Fuel",0,0,0,1,1,1,9,5,13,14,6
6.68072E+15,30000,3503.64,3523.12,1191.14,5905.72,2904.91,17028.53,Fuel,0,1,0,0,0,1,10,13,14,3,4
6.14602E+15,30000,3549.49,4891.49,5662.76,4486.63,2260.85,20851.22,Premium,0,0,0,0,0,0,6,11,9,10,12
6.38394E+15,10000,1222.51,2966.58,1940.7,810.87,975.91,7916.57,"Lifestyle, Premium, Fuel",0,0,0,0,0,1,6,11,9,10,12
6.05203E+15,270000,62150.69,44194.94,31765.86,50637.49,22502.67,211251.65,"Travel, Fuel",1,0,0,1,1,1,0,1,2,8,7
6.04392E+15,50000,5224.8,6349.12,7489.79,6220.39,4183.58,29467.68,Fuel,0,0,0,0,0,1,6,11,9,10,12
6.7666E+15,100000,11408.51,21815.05,10543.75,27099.13,5885.75,76752.19,All_Purpose,0,0,1,0,1,0,6,11,3,4,7
6.97956E+15,70000,16918.45,15456.84,8016.38,15114.85,6541.17,62047.69,"Travel, Fuel",0,0,0,1,1,1,9,5,13,14,6
6.2021E+15,260000,27185.1,73511.67,38277.08,59496.57,15803.78,214274.2,Lifestyle,1,0,0,0,1,0,7,12,0,1,2
6.0245E+15,90000,14317.17,19152.74,4330.87,20225.34,8997.36,67023.48,Fuel,0,0,1,1,1,1,9,5,13,14,6
6.67429E+15,280000,45090.13,74952.74,45641.55,57328.2,24338.29,247350.91,"Lifestyle, Premium, Fuel",1,0,0,1,1,1,0,1,2,8,7
6.42651E+15,70000,11243.47,9223.08,10044.36,18040.83,6168,54719.74,Fuel,0,0,0,1,1,1,9,5,13,14,6
6.01601E+15,90000,14880.37,22901.27,4539.2,17980.88,4525.91,64827.63,Lifestyle,0,0,1,1,1,0,9,5,6,11,3
6.40235E+15,80000,12397.54,11923.45,11858.35,13238.62,5794.77,55212.73,All_Purpose,0,0,0,1,1,0,9,5,6,11,3
6.998E+15,120000,16090.85,8195.88,15910.35,27240.82,9716.94,77154.84,Fuel,0,0,0,0,1,1,6,11,3,4,7
6.00506E+15,20000,3139.36,5316.67,2364.88,3708.4,1025.64,15554.95,Lifestyle,0,1,0,1,0,0,13,14,5,10,9
6.95403E+15,10000,1570.29,1497.06,1286.29,1973.93,803.95,7131.52,Fuel,0,1,0,1,0,1,13,14,5,10,9
6.25419E+15,160000,35511.66,36724.92,30790.24,13441.79,9566.22,126034.83,"Travel, Premium",0,0,1,1,1,0,9,5,6,11,3
6.7643E+15,230000,53982.05,25500.23,43147.05,21449.53,22246.01,166324.87,"Travel, Premium, Fuel",1,0,1,1,1,1,0,1,2,8,7
6.69614E+15,230000,39762.58,26264.65,18038.53,33948.87,20734.8,138749.43,Fuel,1,0,0,1,1,1,0,1,2,8,7
6.48969E+15,300000,44008.85,60775.03,45523.68,41993.18,21203.24,213503.98,Premium,1,0,0,0,1,0,7,12,0,1,2
6.59062E+15,240000,30531.78,43509.8,36129.09,24843.1,18807.75,153821.52,Premium,1,0,1,0,1,0,7,12,0,1,2
6.62168E+15,50000,12221.95,8544.32,8350.94,10052.49,2608.53,41778.23,"Travel, Premium",0,0,0,1,0,0,9,6,11,0,1
6.16057E+15,30000,7281.32,6012.09,5077.86,8235.76,1842.12,28449.15,"Travel, Premium",0,1,0,1,0,0,13,14,5,10,9
6.99901E+15,120000,22997.66,18330.85,20733.17,33360.61,8120.53,103542.82,Premium,0,0,1,1,1,0,9,5,6,11,3
6.2821E+15,80000,17366.31,9496.12,13587.55,13857.79,6670.2,60977.97,"Travel, Premium, Fuel",0,0,0,1,1,1,9,5,13,14,6
6.07574E+15,220000,42587.36,35847.22,28539.16,25731.89,19105.61,151811.24,Fuel,1,0,0,1,1,1,0,1,2,8,7
6.10184E+15,270000,35777.96,19960.73,9185.01,59733.11,21695.77,146352.58,Fuel,1,0,1,0,1,1,7,12,0,1,2
6.48283E+15,30000,4043.76,4431.79,3931.83,5678.66,2981.68,21067.72,Fuel,0,1,0,0,0,1,10,13,14,3,4
6.83112E+15,10000,2042.72,1510.8,1027.94,2378.72,846.22,7806.4,"Travel, Fuel",0,1,0,1,0,1,13,14,5,10,9
6.23302E+15,30000,3577.77,2280.82,4594.13,6217.35,1911.24,18581.31,Premium,0,1,0,0,0,0,10,3,4,6,11
6.29209E+15,50000,5642.44,13677.39,3130.87,7557.09,3066.64,33074.43,Lifestyle,0,0,0,0,1,0,6,11,3,4,7
6.62516E+15,150000,16562.04,26964.74,6224.12,38411.76,9252.84,97415.5,All_Purpose,0,0,0,0,1,0,6,11,3,4,7
6.98436E+15,140000,32481.66,29780.71,16884.4,21189.48,9331.01,109667.26,Travel,0,0,1,1,1,0,9,5,6,11,3
6.41895E+15,30000,7473.63,6463.79,3744.7,7222.29,2197.81,27102.22,Travel,0,0,0,1,0,0,9,6,11,0,1
6.00089E+15,10000,1843.45,2894.06,598.02,2318.01,600.47,8254.01,Lifestyle,0,1,0,1,0,0,13,14,5,10,9
6.73428E+15,50000,5725.07,8129.64,7927.39,7823.29,4162.28,33767.67,"Premium, Fuel",0,0,0,0,0,1,6,11,9,10,12
6.74043E+15,260000,62159.93,28251.74,25449.76,29518.2,25902.29,171281.92,"Travel, Fuel",1,0,1,1,1,1,0,1,2,8,7
6.51526E+15,230000,52050.15,41455.08,31282.2,22909.7,20185.61,167882.74,"Travel, Fuel",1,0,0,1,1,1,0,1,2,8,7
6.94167E+15,140000,31347.42,34370.98,21068.12,12313.74,9121.9,108222.16,"Travel, Premium",0,0,0,1,1,0,9,5,6,11,3
6.1635E+15,70000,10781.43,5033.75,13249.8,14128.55,4569.34,47762.87,Premium,0,0,0,1,0,0,9,6,11,0,1
6.58201E+15,270000,45111.7,54040.12,31769.69,76211.88,20209.01,227342.4,All_Purpose,1,0,1,1,1,0,0,1,2,8,7
6.14858E+15,90000,20494.24,9191.49,16938.11,9504.05,8178.52,64306.41,"Travel, Premium, Fuel",0,0,0,1,0,1,9,13,14,6,11
6.87992E+15,150000,34754.42,40052.13,25051.1,38071,9785.09,147713.74,"Travel, Lifestyle, Premium",0,0,1,1,1,0,9,5,6,11,3
